SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-6.885.785,-3.287.681,"-68,85785-32,87681",6897,19521
5ta Seccion Residencial Sur,Residencial urbano,Urbano,56481,5,Residencial Sur,500070506,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,,,,-6.885.899,-32887,"-68,85899-32,887",9522,1.208.789
9na Seccion Parque Gral. San Martin,Residencial urbano,Urbano,56481,9,Parque Gral. San Martin,500070506,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,,,,-6.886.099,-3.288.544,"-68,86099-32,88544",9150,679.457
9na Seccion Parque Gral. San Martin,Residencial urbano,Urbano,56481,9,Parque Gral. San Martin,500070506,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,,,,-6.886.122,-3.288.657,"-68,86122-32,88657",9421,562.063
8va Seccion Aeroparque,Residencial urbano,Urbano,121811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-6.886.361,-3.286.473,"-68,86361-32,86473",737,129.306
8va Seccion Aeroparque,Residencial urbano,Urbano,121811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-6.886.597,-3.286.476,"-68,86597-32,86476",746,9.2402
,Residencial urbano,Urbano,76645,4,Cuarta Oeste,500070702,1018,346,46,182,195,40,216,27,274,39,137,208,14,922,58,2,0,2,,,,-6.883.541,-3.286.475,"-68,83541-32,86475",785,655.162
,Residencial urbano,Urbano,72735,4,Cuarta Oeste,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,,,,-6.884.178,-3.286.477,"-68,84178-32,86477",803,949.437
11ra Seccion San Agustin,Residencial de uso controlado,Interfaz,2279,11,San Agustin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.889.404,-3.289.817,"-68,89404-32,89817",2522,0
,Residencial urbano,Urbano,72735,4,Cuarta Oeste,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,,,,-6.884.215,-3.286.474,"-68,84215-32,86474",809,1.010.937
